Adagala, Beatrice Kahai, VIHIGA COUNTY, ANC - YES
Yakub, Farah Salah, FAFI, UDA - YES
Yegon, Brighton Leonard, KONOIN, UDA - YES
Yegon, Richard Kipkemoi, BOMET EAST, UDA - YES
Abdullahi, Bashir Sheikh, MANDERA NORTH, UDM - YES
Chiforomodo, Mangale Munga, LUNGA LUNGA, UDM - YES
Haro, Abdul Ebrahim, MANDERA SOUTH, UDM - YES
(Kullow Maalim Hassan -Deceased) - BANISSA - VACANT
Harun, Suleka Hulbale, NOMINATED, UDM - YES
Lekuton, Joseph, LAISAMIS, UDM - ABSENT
Sheikh, Umul Ker Kassim, MANDERA COUNTY, UDM - YES
Yussuf, Adan Haji, MANDERA WEST, UDM - ABSENT
Onchoke Charles, BONCHARI, UPA - NO
Jaldesa, Guyo Waqo, MOYALE, UPIA - NO
Yakub, Adow Kuno, BURA, UPIA - YES
Abdi, Khamis Chome, VOI, WIPER - ABSENT
Aburi, Donya Dorice, KISII COUNTY, WIPER - NO
Basil, Robert Ngui, YATTA, WIPER - NO
Bwire, John Okano, TAVETA, WIPER - NO
Kamene, Joyce, MACHAKOS COUNTY, WIPER - NO
Kasalu, Irene Muthoni, KITUI COUNTY, WIPER - ABSENT
Kiamba, Suzanne Ndunge, MAKUENI COUNTY, WIPER - ABSENT
Kimilu, Joshua Kivinda, KAITI, WIPER - NO
King’ola Patrick Makau, MAVOKO, WIPER - ABSENT
Maalim, Farah, DADAAB, WIPER - ABSENT
Mawathe, Julius Musili, EMBAKASI SOUTH, WIPER - NO
Mbalu, Jessica Nduku Kiko, KIBWEZI EAST, WIPER - NO
Mboni, David Mwalika, KITUI RURAL, WIPER - NO
Mbui, Robert, KATHIANI, WIPER - NO
Momanyi, Innocent Obiri, BOMACHOGE BORABU, WIPER - ABSENT
Mule, Stephen Mutinda, MATUNGULU, WIPER - ABSENT
Mulu, Makali Benson, KITUI CENTRAL, WIPER - YES
Mulyungi, Gideon Mutemi, MWINGI CENTRAL, WIPER - NO
Mumo, Rose Museo, MAKUENI COUNTY, WIPER - NO
Mwakuwona, Danson Mwashako, WUNDANYI, WIPER - NO
Nguna, Charles Ngusya, MWINGI WEST, WIPER - NO
Nyenze, Edith Vethi, KITUI WEST, WIPER - NO
Nzambia, Thudeeus Kithua, KILOME, WIPER - NO
Nzengu, Paul Musyimi, MWINGI NORTH, WIPER - ABSENT
Nzioka, Erastus Kivasu, MBOONI, WIPER - NO
Twalib, Abubakar Ahmed, NOMINATED, WIPER - YES
